DATE,DYCO
2008-05-02,0.04390774
2008-05-05,0.01295868
2008-05-06,-0.00343999
2008-05-07,-0.01258562
2008-05-08,0.00345032
2008-05-09,-0.00074679
2008-05-12,0.00752853
2008-05-13,0.001928
2008-05-14,-0.00396534
2008-05-15,0.00548864
2008-05-16,0.00529785
2008-05-19,-0.00220342
2008-05-20,-0.00465973
2008-05-21,-0.00392809
2008-05-23,-0.00720914
2008-05-26,0.00562719
2008-05-27,-0.00160049
2008-05-28,0.01475723
2008-05-29,-0.00868704
2008-05-30,0.01076019
2008-06-02,-0.00888142
2008-06-03,-0.00497683
2008-06-04,-0.00637997
2008-06-05,0.01881659
2008-06-06,-0.01487436
2008-06-09,-0.00196588
2008-06-10,-0.01313998
2008-06-11,-0.00999193
2008-06-12,0.00122835
2008-06-13,0.00367354
2008-06-16,0.00381735
2008-06-17,0.0088777
2008-06-18,-0.01813408
2008-06-19,-0.0083668
2008-06-20,-0.01752548
2008-06-23,0.00555302
2008-06-24,-0.01442767
2008-06-25,0.01351442
2008-06-26,-0.01766496
2008-06-27,0.00855738
2008-06-30,0.01077747
2008-07-01,-0.01118419
2008-07-02,-0.02155507
2008-07-03,-0.02428687
2008-07-04,-0.00577071
2008-07-07,-0.00265882
2008-07-08,-0.00242482
2008-07-09,0.00101836
2008-07-10,0.0075958
2008-07-11,0.0019062
2008-07-14,0.00920916
2008-07-15,0.00240794
2008-07-16,0.02181737
2008-07-17,-0.0161224
2008-07-18,-0.00423768
2008-07-21,0.00717421
2008-07-22,-0.00724898
2008-07-23,-0.00386072
2008-07-24,-0.01520186
2008-07-25,-0.00255175
2008-07-28,-0.00429722
2008-07-29,0.01773564
2008-07-30,0.01401627
2008-07-31,-0.00270262
2008-08-01,-0.01670356
2008-08-04,-0.02211924
2008-08-05,0.01244046
2008-08-06,0.01667817
2008-08-07,-0.00998771
2008-08-08,-0.0039105
2008-08-11,-0.01841621
2008-08-12,-0.00522551
2008-08-13,-0.00272025
2008-08-14,0.0141815
2008-08-15,-0.00765597
2008-08-18,-0.00857031
2008-08-19,0.00105798
2008-08-20,0.01646034
2008-08-21,0.00080727
2008-08-22,-0.00028208
2008-08-25,-0.01135183
2008-08-26,0.00085704
2008-08-27,0.00964521
2008-08-28,0.01951067
2008-08-29,-0.00840353
